rank wordform abs r
744 cry 530 28
745 trust 517 27
746 fast 518 29
747 ye 1051 25
748 warm 501 28
749 danger 524 28
750 trees 573 29
751 breakfast 505 28
752 rich 490 29
753 engaged 521 28
754 proper 554 29
755 talked 554 27
756 respect 504 27
757 fixed 478 29
758 hill 609 27
759 wall 554 26
760 determined 524 28
761 wild 525 29
762 shut 509 29
763 top 553 28
764 plain 481 28
765 scene 508 27
766 sweet 491 28
767 especially 529 27
768 public 523 25
769 acquaintance 569 26
770 forget 471 29
771 history 522 28
772 pale 505 29
773 pray 506 27
774 books 498 28
775 afternoon 529 28
776 man's 482 28
777 otherwise 460 29
778 mention 522 27
779 position 593 26
780 speech 472 29
781 gate 507 28
782 'em 660 22
783 boys 818 28
784 yours 468 29
785 drink 475 29
786 slowly 533 29
787 broke 461 29
788 clothes 494 28
789 fond 483 29
790 pride 475 27
791 watch 486 29
792 sooner 535 27
793 settled 484 29
794 paid 465 28
795 reply 500 27
796 tea 596 23
797 lie 484 29
798 running 482 29
799 died 454 28
800 gentle 461 28
801 particularly 488 27
802 allowed 463 28
803 outside 514 27
804 placed 483 28
805 joy 461 28
806 hearing 449 29
807 note 468 27
808 condition 498 25
809 follow 442 29
810 begin 470 29
811 neck 489 27
812 serious 464 27
813 hurt 477 29
814 kindness 490 28
815 mere 464 26
816 farther 521 27
817 changed 437 29
818 o'clock 504 29
819 passing 458 29
820 girls 539 25
821 force 447 26
822 situation 507 27
823 greater 493 25
824 expression 473 26
825 eat 488 29
826 reading 447 28
827 spoken 433 29
828 raised 447 29
829 anybody 495 24
830 started 449 29
831 following 436 26
832 although 705 25
833 sea 681 26
834 proud 458 28
835 future 452 25
836 quick 445 29
837 safe 435 29
838 temper 458 29
839 laughing 457 29
840 ears 451 27
841 difficulty 430 29
842 meaning 439 28
843 servant 459 27
844 sad 437 29
845 advantage 461 28
846 appear 453 27
847 offer 429 28
848 breath 467 29
849 opposite 443 29
850 number 429 29
851 miserable 418 29
852 law 445 27
853 rising 416 29
854 favour 474 26
855 save 453 29
856 twice 419 29
857 single 424 28
858 blue 471 28
859 noise 438 29
860 stone 467 27
861 mistress 566 23
862 surprised 469 27
863 allow 438 27
864 spot 482 28
865 burst 406 28
866 keeping 418 29
867 line 445 29
868 understood 412 29
869 court 541 25
870 finding 407 27
871 direction 469 29
872 anxious 460 27
873 pocket 450 28
874 around 524 28
875 conduct 470 26
876 loss 422 25
877 fresh 411 28
878 below 433 28
879 hall 541 27
880 satisfaction 467 24
881 land 503 29
882 telling 402 29
883 passion 464 28
884 floor 439 28
885 break 407 28
886 lying 448 27
887 waited 428 29
888 closed 435 28
889 meeting 445 25
890 trying 470 27
891 seat 413 28
892 king 677 26
893 confidence 445 27
894 offered 402 28
895 stranger 436 27
896 somebody 428 28
897 matters 426 27
898 noble 505 27
899 pardon 435 28
900 private 426 25
901 sharp 506 29
902 evil 434 26
903 weeks 421 28
904 justice 445 26
905 hot 429 29
906 cast 423 26
907 letters 434 27
908 youth 397 27
909 lives 396 29
910 health 399 28
911 finished 395 29
912 hoped 415 28
913 holding 402 29
914 touch 417 27
915 spite 424 29
916 delight 427 27
917 bound 415 28
918 consequence 431 25
919 rain 420 28
920 wouldn't 638 20
921 third 396 28
922 hung 427 28
923 ways 399 28
924 weather 407 27
925 written 395 28
926 difference 409 26
927 kitchen 453 27
928 she's 607 21
929 mother's 476 26
930 persons 472 26
931 quarter 386 28
932 promised 383 29
933 hopes 405 28
934 brown 493 27
935 nay 609 24
936 seven 385 29
937 simple 417 27
938 wood 484 29
939 beside 484 23
940 middle 410 29
941 ashamed 387 29
942 lose 369 29
943 dreadful 396 28
944 move 375 29
945 generally 412 27
946 cousin 567 21
947 surely 410 25
948 satisfied 432 26
949 bent 393 29
950 shoulder 426 27
951 art 497 27
952 field 430 29
953 quickly 433 28
954 thrown 374 28
955 tired 392 29
956 share 385 27
957 pair 397 28
958 to-morrow 419 25
959 aware 421 23
960 colour 371 28
961 writing 376 29
962 whenever 368 29
963 quietly 393 29
964 fool 395 27
965 forced 392 26
966 touched 364 28
967 smiling 379 28
968 taste 381 28
969 dog 456 26
970 spent 386 28
971 steps 379 28
972 worst 368 28
973 legs 436 25
974 watched 412 28
975 ay 487 24
976 thee 925 20
977 eight 380 28
978 worthy 405 25
979 wrote 386 28
980 manners 428 28
981 proceeded 402 25
982 frightened 389 28
983 somewhat 409 25
984 born 351 27
985 greatest 427 24
986 charge 368 26
987 degree 426 23
988 shame 349 28
989 places 362 28
990 ma'am 553 19
991 couldn't 592 20
992 tongue 359 29
993 according 385 26
994 box 419 27
995 wine 385 29
996 filled 364 28
997 servants 421 27
998 calling 342 29
999 fallen 345 29
1000 supper 368 27
